Metin,Normal Metin,Niyet,Kaynak,Bölüm
şu anda yaşın kaç lütfen,su anda yasin kac lutfen,BOT_YAS,KitapPusula-Final-özel,eğitim
bu eser neyi konu alıyor,bu eser neyi konu aliyor,OZET_SORUSU,KitapPusula-V6,eğitim
macro f1 kaç,macro f1 kac,MODEL_BILGISI,KitapPusula-V6,eğitim
son olarak şu an hangi gelişmeler var,son olarak su an hangi gelismeler var,HABER_SORUSU,KitapPusula-Final-özel,eğitim
model hangi kitap türlerini ayırıyor söyler misin,model hangi kitap turlerini ayiriyor soyler misin,KATEGORI_LISTESI,KitapPusula-V6,eğitim
bu romanda anlatılan kişi kim hatırlatır mısın,bu romanda anlatilan kisi kim hatirlatir misin,KARAKTER_SORUSU,KitapPusula-V6,eğitim
şu anda ne zaman doğdun lütfen,su anda ne zaman dogdun lutfen,BOT_YAS,KitapPusula-Final-özel,eğitim
Java kodu yaz,java kodu yaz,ALAN_DISI,KitapPusula-Final-özel,eğitim
kitap modeli için macro f1 kaç,kitap modeli icin macro f1 kac,MODEL_BILGISI,KitapPusula-V6,eğitim
artık sohbeti bitirelim,artik sohbeti bitirelim,VEDA,KitapPusula-Final-özel,eğitim
aksarayda saat kaç,aksarayda saat kac,TARIH_SAAT_SORUSU,MASSIVE-tr-TR,eğitim
kısaca bir fonksiyon yaz olur mu,kisaca bir fonksiyon yaz olur mu,ALAN_DISI,KitapPusula-Final-özel,eğitim
şimdilik kendine iyi bak sonra,simdilik kendine iyi bak sonra,VEDA,KitapPusula-Final-özel,eğitim
bu sistem bütün kitapları biliyor mu gerçekten,bu sistem butun kitaplari biliyor mu gercekten,HER_KITAP_SORUSU,KitapPusula-V6,eğitim
kısaca matematik sorusu çöz istiyorum,kisaca matematik sorusu coz istiyorum,ALAN_DISI,KitapPusula-Final-özel,eğitim
başka bir şehir de saat kaç,baska bir sehir de saat kac,TARIH_SAAT_SORUSU,MASSIVE-tr-TR,eğitim
bu kitap hakkında daha derin bilgi ver mümkünse,bu kitap hakkinda daha derin bilgi ver mumkunse,DETAY_SORUSU,KitapPusula-V6,eğitim
bu eser hangi türe ait hatırlatır mısın,bu eser hangi ture ait hatirlatir misin,TUR_SORUSU,KitapPusula-V6,eğitim
neye bakıyorduk,neye bakiyorduk,KITAP_ADI_SORUSU,KitapPusula-V6,eğitim
biraz önce kitabın adı neydi,biraz once kitabin adi neydi,KITAP_ADI_SORUSU,KitapPusula-V6,eğitim
mozaik pasta sosunda kaç fincan şeker vardır,mozaik pasta sosunda kac fincan seker vardir,YEMEK_TARIFI_SORUSU,MASSIVE-tr-TR,eğitim
kahraman kim ki,kahraman kim ki,KARAKTER_SORUSU,KitapPusula-V6,eğitim
hemen kod yazabilir misin istiyorum,hemen kod yazabilir misin istiyorum,ALAN_DISI,KitapPusula-Final-özel,eğitim
acaba sahibin kim bana,acaba sahibin kim bana,BOT_YARATICI,KitapPusula-Final-özel,eğitim
bana ankara türkiyedeki saati söyle,bana ankara turkiyedeki saati soyle,TARIH_SAAT_SORUSU,MASSIVE-tr-TR,eğitim
bu romanda hikâyeyi taşıyan kişi kim hatırlatır mısın,bu romanda hik yeyi tasiyan kisi kim hatirlatir misin,KARAKTER_SORUSU,KitapPusula-V6,eğitim
model hangi kitap türlerini ayırıyor,model hangi kitap turlerini ayiriyor,KATEGORI_LISTESI,KitapPusula-V6,eğitim
şifre kırmayı öğret olur mu,sifre kirmayi ogret olur mu,ALAN_DISI,KitapPusula-Final-özel,eğitim
bu kitap uzun bir kitap mı,bu kitap uzun bir kitap mi,SAYFA_SORUSU,KitapPusula-V6,eğitim
merak ettim doğum günün ne zaman lütfen,merak ettim dogum gunun ne zaman lutfen,BOT_YAS,KitapPusula-Final-özel,eğitim
bir tane şaka yap olur mu,bir tane saka yap olur mu,SAKA_ISTEGI,KitapPusula-Final-özel,eğitim
çok emeğine sağlık sana,cok emegine saglik sana,TESEKKUR,KitapPusula-Final-özel,eğitim
bugün boşluk hakkında farklı bir şey var mı,bugun bosluk hakkinda farkli bir sey var mi,HABER_SORUSU,MASSIVE-tr-TR,eğitim
bu eser hangi kategoride hatırlatır mısın,bu eser hangi kategoride hatirlatir misin,TUR_SORUSU,KitapPusula-V6,eğitim
bu eser hangi edebî sınıfa giriyor hatırlatır mısın,bu eser hangi edeb sinifa giriyor hatirlatir misin,TUR_SORUSU,KitapPusula-V6,eğitim
bana kullanım seçeneklerini ver,bana kullanim seceneklerini ver,YARDIM,KitapPusula-V6,eğitim
merak ettim nerelisin şu anda,merak ettim nerelisin su anda,BOT_KONUM,KitapPusula-Final-özel,eğitim
sınıflandırıcı desteklenen kategoriler neler söyler misin,siniflandirici desteklenen kategoriler neler soyler misin,KATEGORI_LISTESI,KitapPusula-V6,eğitim
pizza yapmak için ne gerekir,pizza yapmak icin ne gerekir,YEMEK_TARIFI_SORUSU,MASSIVE-tr-TR,eğitim
sence yazar bunu neden yazmış olabilir kısaca değerlendir,sence yazar bunu neden yazmis olabilir kisaca degerlendir,SERBEST_KITAP_SORUSU,KitapPusula-V6,eğitim
bana protesto hakkındaki köşe yazılarının bağlantılarını yolla,bana protesto hakkindaki kose yazilarinin baglantilarini yolla,HABER_SORUSU,MASSIVE-tr-TR,eğitim
bu kitap kategorisi ne hatırlatır mısın,bu kitap kategorisi ne hatirlatir misin,TUR_SORUSU,KitapPusula-V6,eğitim
bu eserle ilgili konuyu daha geniş açıkla lütfen,bu eserle ilgili konuyu daha genis acikla lutfen,DETAY_SORUSU,KitapPusula-V6,eğitim
sanırım sana bir şey anlatacağım şimdi,sanirim sana bir sey anlatacagim simdi,GENEL_SOHBET,KitapPusula-Final-özel,eğitim
güncel olaylardan bahset,guncel olaylardan bahset,HABER_SORUSU,KitapPusula-Final-özel,eğitim
KitapPusula bütün kitapları biliyor mu gerçekten,kitappusula butun kitaplari biliyor mu gercekten,HER_KITAP_SORUSU,KitapPusula-V6,eğitim
bu romanda baş karakter kimdir,bu romanda bas karakter kimdir,KARAKTER_SORUSU,KitapPusula-V6,eğitim
az önce kitabın ismini hatırlat söyler misin,az once kitabin ismini hatirlat soyler misin,KITAP_ADI_SORUSU,KitapPusula-V6,eğitim
romanda bu olayın sebebi ne anlatır mısın,romanda bu olayin sebebi ne anlatir misin,OLAY_SORUSU,KitapPusula-V6,eğitim
moralin nasıl söyler misin,moralin nasil soyler misin,NASILSIN,KitapPusula-V6,eğitim
kısaca otel öner olur mu,kisaca otel oner olur mu,ALAN_DISI,KitapPusula-Final-özel,eğitim
bu kitapta bu olayın sebebi ne anlatır mısın,bu kitapta bu olayin sebebi ne anlatir misin,OLAY_SORUSU,KitapPusula-V6,eğitim
komutları göster,komutlari goster,YARDIM,KitapPusula-V6,eğitim
bu eserle ilgili başka neler biliyorsun lütfen,bu eserle ilgili baska neler biliyorsun lutfen,DETAY_SORUSU,KitapPusula-V6,eğitim
bu eser roman mı hikâye mi,bu eser roman mi hik ye mi,TUR_SORUSU,KitapPusula-V6,eğitim
kısaca nasıl kullanılır,kisaca nasil kullanilir,YARDIM,KitapPusula-V6,eğitim
açıklar mısın ismin nedir lütfen,aciklar misin ismin nedir lutfen,BOT_KIMLIK,KitapPusula-Final-özel,eğitim
bu sistem sınırsız kitaba erişebiliyor mu şu anda,bu sistem sinirsiz kitaba erisebiliyor mu su anda,HER_KITAP_SORUSU,KitapPusula-V6,eğitim
kızarmış pirinç nasıl yapılır,kizarmis pirinc nasil yapilir,YEMEK_TARIFI_SORUSU,MASSIVE-tr-TR,eğitim
acaba bu projeyi kim hazırladı lütfen,acaba bu projeyi kim hazirladi lutfen,BOT_YARATICI,KitapPusula-Final-özel,eğitim
az önceki kitap kaç sayfa,az onceki kitap kac sayfa,SAYFA_SORUSU,KitapPusula-V6,eğitim
acaba ne zamandır varsın şu anda,acaba ne zamandir varsin su anda,BOT_YAS,KitapPusula-Final-özel,eğitim
kitap modeli için model nasıl çalışıyor söyler misin,kitap modeli icin model nasil calisiyor soyler misin,MODEL_BILGISI,KitapPusula-V6,eğitim
şu anda fiziksel olarak neredesin şu anda,su anda fiziksel olarak neredesin su anda,BOT_KONUM,KitapPusula-Final-özel,eğitim
sandalet giymeli miyim,sandalet giymeli miyim,HAVA_SORUSU,MASSIVE-tr-TR,eğitim
bu kitap hakkında detaylandır mümkünse,bu kitap hakkinda detaylandir mumkunse,DETAY_SORUSU,KitapPusula-V6,eğitim
etiketsiz kitabın kategorisini bul,etiketsiz kitabin kategorisini bul,YENI_KITAP_SINIFLANDIR,KitapPusula-V6,eğitim
Puslu Kıtalar Atlası,puslu kitalar atlasi,KITAP_ARAMA,KitapPusula-V6,eğitim
bu eser kısaca özetle lütfen,bu eser kisaca ozetle lutfen,OZET_SORUSU,KitapPusula-V6,eğitim
sence kitap okunmaya değer mi yorumlar mısın,sence kitap okunmaya deger mi yorumlar misin,SERBEST_KITAP_SORUSU,KitapPusula-V6,eğitim
bu kitap hangi türe ait,bu kitap hangi ture ait,TUR_SORUSU,KitapPusula-V6,eğitim
ne haber,ne haber,NASILSIN,KitapPusula-V6,eğitim
o zaman sonra konuşuruz,o zaman sonra konusuruz,VEDA,KitapPusula-Final-özel,eğitim
söyler misin yeteneklerin neler,soyler misin yeteneklerin neler,BOT_YETENEK,KitapPusula-Final-özel,eğitim
Fahrenheit 451,fahrenheit 451,KITAP_ARAMA,KitapPusula-V6,eğitim
senden ne isteyebilirim,senden ne isteyebilirim,BOT_YETENEK,KitapPusula-Final-özel,eğitim
bu eserle ilgili başka neler biliyorsun mümkünse,bu eserle ilgili baska neler biliyorsun mumkunse,DETAY_SORUSU,KitapPusula-V6,eğitim
kısaca spor müsabakasının skorunu söyle istiyorum,kisaca spor musabakasinin skorunu soyle istiyorum,ALAN_DISI,KitapPusula-Final-özel,eğitim
bu kitapta hikâyeyi taşıyan kişi kim söyler misin,bu kitapta hik yeyi tasiyan kisi kim soyler misin,KARAKTER_SORUSU,KitapPusula-V6,eğitim
Sineklerin Tanrısı,sineklerin tanrisi,KITAP_ARAMA,KitapPusula-V6,eğitim
domates çorbası için hangi malzemeler gerekir,domates corbasi icin hangi malzemeler gerekir,YEMEK_TARIFI_SORUSU,MASSIVE-tr-TR,eğitim
kaç kitabı arayabiliyorsun şu anda,kac kitabi arayabiliyorsun su anda,KITAP_SAYISI,KitapPusula-V6,eğitim
fırında tavuk pişirmek için yardıma ihtiyacım var,firinda tavuk pisirmek icin yardima ihtiyacim var,YEMEK_TARIFI_SORUSU,MASSIVE-tr-TR,eğitim
romanda olaylar nasıl gelişiyor anlatır mısın,romanda olaylar nasil gelisiyor anlatir misin,OLAY_SORUSU,KitapPusula-V6,eğitim
patates kızartması için yağ kaç derecede kızartılmalı,patates kizartmasi icin yag kac derecede kizartilmali,YEMEK_TARIFI_SORUSU,MASSIVE-tr-TR,eğitim
toplam kayıt sayısını ver,toplam kayit sayisini ver,KITAP_SAYISI,KitapPusula-V6,eğitim
bu kitapta hikâye nasıl bitiyor,bu kitapta hik ye nasil bitiyor,OLAY_SORUSU,KitapPusula-V6,eğitim
bazen biraz sohbet etmek istiyorum,bazen biraz sohbet etmek istiyorum,GENEL_SOHBET,KitapPusula-Final-özel,eğitim
merak ettim fiziksel olarak neredesin şu anda,merak ettim fiziksel olarak neredesin su anda,BOT_KONUM,KitapPusula-Final-özel,eğitim
komutları göster lütfen,komutlari goster lutfen,YARDIM,KitapPusula-V6,eğitim
Aşk-ı Memnu,ask i memnu,KITAP_ARAMA,KitapPusula-V6,eğitim
sevgililer günü haftanın hangi günü,sevgililer gunu haftanin hangi gunu,TARIH_SAAT_SORUSU,MASSIVE-tr-TR,eğitim
sınıflandırıcı kategori listesini ver,siniflandirici kategori listesini ver,KATEGORI_LISTESI,KitapPusula-V6,eğitim
acaba kaç yıllıksın,acaba kac yilliksin,BOT_YAS,KitapPusula-Final-özel,eğitim
bugün işler nasıl,bugun isler nasil,NASILSIN,KitapPusula-V6,eğitim
kısaca sen bir robot musun bana,kisaca sen bir robot musun bana,BOT_KIMLIK,KitapPusula-Final-özel,eğitim
her şey yolunda mı,her sey yolunda mi,NASILSIN,KitapPusula-V6,eğitim
doğrudan yaratıcın kim,dogrudan yaraticin kim,BOT_YARATICI,KitapPusula-Final-özel,eğitim
bilgileri baştan yaz,bilgileri bastan yaz,TEKRAR_GOSTER,KitapPusula-V6,eğitim
keyfin nasıl,keyfin nasil,NASILSIN,KitapPusula-V6,eğitim
merak ettim haber gündeminde ne bulunuyor lütfen,merak ettim haber gundeminde ne bulunuyor lutfen,HABER_SORUSU,KitapPusula-Final-özel,eğitim
yardım et,yardim et,YARDIM,KitapPusula-V6,eğitim
yemek tarifi,yemek tarifi,YEMEK_TARIFI_SORUSU,MASSIVE-tr-TR,eğitim
acaba hangi şehirde yaşıyorsun,acaba hangi sehirde yasiyorsun,BOT_KONUM,KitapPusula-Final-özel,eğitim
bu kitap roman mı hikâye mi,bu kitap roman mi hik ye mi,TUR_SORUSU,KitapPusula-V6,eğitim
bugün moralin nasıl KitapPusula,bugun moralin nasil kitappusula,NASILSIN,KitapPusula-V6,eğitim
sence bu akşam yedi de sandalet giymem gerekiyor mu yoksa spor ayakkabı mı giyeyim,sence bu aksam yedi de sandalet giymem gerekiyor mu yoksa spor ayakkabi mi giyeyim,HAVA_SORUSU,MASSIVE-tr-TR,eğitim
az önceki kitabın yazan kişi kim,az onceki kitabin yazan kisi kim,YAZAR_SORUSU,KitapPusula-V6,eğitim
gerçekten teşekkür ederim sana,gercekten tesekkur ederim sana,TESEKKUR,KitapPusula-Final-özel,eğitim
bu romanda merkezdeki kişi kim söyler misin,bu romanda merkezdeki kisi kim soyler misin,KARAKTER_SORUSU,KitapPusula-V6,eğitim
Bir Delinin Hatıra Defteri,bir delinin hatira defteri,KITAP_ARAMA,KitapPusula-V6,eğitim
söyler misin hangi görevleri yaparsın lütfen,soyler misin hangi gorevleri yaparsin lutfen,BOT_YETENEK,KitapPusula-Final-özel,eğitim
söyler misin hangi görevleri yaparsın anlatır mısın,soyler misin hangi gorevleri yaparsin anlatir misin,BOT_YETENEK,KitapPusula-Final-özel,eğitim
pirinç pilavını buharda nasıl pişirebilirim,pirinc pilavini buharda nasil pisirebilirim,YEMEK_TARIFI_SORUSU,MASSIVE-tr-TR,eğitim
bugün güncel haberleri anlat lütfen,bugun guncel haberleri anlat lutfen,HABER_SORUSU,KitapPusula-Final-özel,eğitim
bir tane beni güldür lütfen,bir tane beni guldur lutfen,SAKA_ISTEGI,KitapPusula-Final-özel,eğitim
Suç ve Ceza,suc ve ceza,KITAP_ARAMA,KitapPusula-V6,eğitim
sistemde kitap havuzu ne kadar büyük,sistemde kitap havuzu ne kadar buyuk,KITAP_SAYISI,KitapPusula-V6,eğitim
hangi kitap türlerini ayırıyor,hangi kitap turlerini ayiriyor,KATEGORI_LISTESI,KitapPusula-V6,eğitim
tamam ben çıkıyorum sonra,tamam ben cikiyorum sonra,VEDA,KitapPusula-Final-özel,eğitim
şu anda bir yaşın var mı lütfen,su anda bir yasin var mi lutfen,BOT_YAS,KitapPusula-Final-özel,eğitim
bir tane kısa bir fıkra anlat olur mu,bir tane kisa bir fikra anlat olur mu,SAKA_ISTEGI,KitapPusula-Final-özel,eğitim
Kırmızı Saçlı Kadın,kirmizi sacli kadin,KITAP_ARAMA,KitapPusula-V6,eğitim
kısaca ne işe yarıyorsun,kisaca ne ise yariyorsun,BOT_YETENEK,KitapPusula-Final-özel,eğitim
az önce son kitap hangisiydi söyler misin,az once son kitap hangisiydi soyler misin,KITAP_ADI_SORUSU,KitapPusula-V6,eğitim
keyfin nasıl söyler misin,keyfin nasil soyler misin,NASILSIN,KitapPusula-V6,eğitim
sen tüm kitaplar sende var mı şu anda,sen tum kitaplar sende var mi su anda,HER_KITAP_SORUSU,KitapPusula-V6,eğitim
bu eser hangi edebî sınıfa giriyor söyler misin,bu eser hangi edeb sinifa giriyor soyler misin,TUR_SORUSU,KitapPusula-V6,eğitim
ankara'da saat kaç,ankara da saat kac,TARIH_SAAT_SORUSU,MASSIVE-tr-TR,eğitim
kısaca sen bir robot musun,kisaca sen bir robot musun,BOT_KIMLIK,KitapPusula-Final-özel,eğitim
merak ettim seni kim geliştirdi lütfen,merak ettim seni kim gelistirdi lutfen,BOT_YARATICI,KitapPusula-Final-özel,eğitim
merak ettim bir adresin var mı,merak ettim bir adresin var mi,BOT_KONUM,KitapPusula-Final-özel,eğitim
gerçekten yardımın işime yaradı KitapPusula,gercekten yardimin isime yaradi kitappusula,TESEKKUR,KitapPusula-Final-özel,eğitim
cross validation sonucu nedir söyler misin,cross validation sonucu nedir soyler misin,MODEL_BILGISI,KitapPusula-V6,eğitim
moralin nasıl bakalım,moralin nasil bakalim,NASILSIN,KitapPusula-V6,eğitim
yazar tür sayfa ve özeti söyle,yazar tur sayfa ve ozeti soyle,TEKRAR_GOSTER,KitapPusula-V6,eğitim
bugün kendini nasıl hissediyorsun KitapPusula,bugun kendini nasil hissediyorsun kitappusula,NASILSIN,KitapPusula-V6,eğitim
verdiğin cevap için teşekkürler sana,verdigin cevap icin tesekkurler sana,TESEKKUR,KitapPusula-Final-özel,eğitim
selam bugün de,selam bugun de,SELAMLAMA,KitapPusula-V6,eğitim
merak ettim yaşlı mısın,merak ettim yasli misin,BOT_YAS,KitapPusula-Final-özel,eğitim
ne yapabiliyorsun,ne yapabiliyorsun,YARDIM,KitapPusula-V6,eğitim
şu anda güncel haberleri anlat,su anda guncel haberleri anlat,HABER_SORUSU,KitapPusula-Final-özel,eğitim
gerçekten eyvallah sana,gercekten eyvallah sana,TESEKKUR,KitapPusula-Final-özel,eğitim
artık başka zaman devam edelim sonra,artik baska zaman devam edelim sonra,VEDA,KitapPusula-Final-özel,eğitim
kitap modeli için başarı oranı nedir ayrıntılı anlat,kitap modeli icin basari orani nedir ayrintili anlat,MODEL_BILGISI,KitapPusula-V6,eğitim
fox ana haber de şu anki baş hikaye nedir,fox ana haber de su anki bas hikaye nedir,HABER_SORUSU,MASSIVE-tr-TR,eğitim
nasılsın söyler misin,nasilsin soyler misin,NASILSIN,KitapPusula-V6,eğitim
sayfa bilgisini ver,sayfa bilgisini ver,SAYFA_SORUSU,KitapPusula-V6,eğitim
modelle etiketsiz kitabın kategorisini bul,modelle etiketsiz kitabin kategorisini bul,YENI_KITAP_SINIFLANDIR,KitapPusula-V6,eğitim
lütfen detayları yeniden göster bir kez daha,lutfen detaylari yeniden goster bir kez daha,TEKRAR_GOSTER,KitapPusula-V6,eğitim
adı ne bunun,adi ne bunun,KITAP_ADI_SORUSU,KitapPusula-V6,eğitim
bu kitabın sahibi hangi yazar,bu kitabin sahibi hangi yazar,YAZAR_SORUSU,KitapPusula-V6,eğitim
bu kitap edebî türü nedir hatırlatır mısın,bu kitap edeb turu nedir hatirlatir misin,TUR_SORUSU,KitapPusula-V6,eğitim
az önce hangi kitabı konuşuyoruz söyler misin,az once hangi kitabi konusuyoruz soyler misin,KITAP_ADI_SORUSU,KitapPusula-V6,eğitim
bu kitap insana ne hissettirir,bu kitap insana ne hissettirir,SERBEST_KITAP_SORUSU,KitapPusula-V6,eğitim
hadi neşeli bir cümle kur,hadi neseli bir cumle kur,SAKA_ISTEGI,KitapPusula-Final-özel,eğitim
söyler misin hangi konularda yardımcı olursun lütfen,soyler misin hangi konularda yardimci olursun lutfen,BOT_YETENEK,KitapPusula-Final-özel,eğitim
bu eserin kimin eseri söyler misin,bu eserin kimin eseri soyler misin,YAZAR_SORUSU,KitapPusula-V6,eğitim
KitapPusula ile metinden kitap türü çıkar lütfen,kitappusula ile metinden kitap turu cikar lutfen,YENI_KITAP_SINIFLANDIR,KitapPusula-V6,eğitim
sistemde toplam kaç eser bulunuyor söyler misin,sistemde toplam kac eser bulunuyor soyler misin,KITAP_SAYISI,KitapPusula-V6,eğitim
bana kullanım seçeneklerini ver anlatır mısın,bana kullanim seceneklerini ver anlatir misin,YARDIM,KitapPusula-V6,eğitim
söyler misin seni kim geliştirdi bana,soyler misin seni kim gelistirdi bana,BOT_YARATICI,KitapPusula-Final-özel,eğitim
romanda sonunda ne oluyor anlatır mısın,romanda sonunda ne oluyor anlatir misin,OLAY_SORUSU,KitapPusula-V6,eğitim
olly hatayda saat kaç,olly hatayda saat kac,TARIH_SAAT_SORUSU,MASSIVE-tr-TR,eğitim
lütfen bilgileri baştan yaz bir kez daha,lutfen bilgileri bastan yaz bir kez daha,TEKRAR_GOSTER,KitapPusula-V6,eğitim
dondurmak,dondurmak,YEMEK_TARIFI_SORUSU,MASSIVE-tr-TR,eğitim
bu sistem veri setinde olmayan kitabı bulabilir mi gerçekten,bu sistem veri setinde olmayan kitabi bulabilir mi gercekten,HER_KITAP_SORUSU,KitapPusula-V6,eğitim
merak ettim bana nasıl yardım edersin,merak ettim bana nasil yardim edersin,BOT_YETENEK,KitapPusula-Final-özel,eğitim
az önce hangi kitaptan söz ettik söyler misin,az once hangi kitaptan soz ettik soyler misin,KITAP_ADI_SORUSU,KitapPusula-V6,eğitim
bu kitap hakkında detaylandır lütfen,bu kitap hakkinda detaylandir lutfen,DETAY_SORUSU,KitapPusula-V6,eğitim
sınıflandırıcı kaç tür tanıyor söyler misin,siniflandirici kac tur taniyor soyler misin,KATEGORI_LISTESI,KitapPusula-V6,eğitim
iyi geceler orada mısın,iyi geceler orada misin,SELAMLAMA,KitapPusula-V6,eğitim
bu eser ne anlatıyor anlatır mısın,bu eser ne anlatiyor anlatir misin,OZET_SORUSU,KitapPusula-V6,eğitim
Kürk Mantolu Madonna,kurk mantolu madonna,KITAP_ARAMA,KitapPusula-V6,eğitim
nerede yaşıyorsun şu anda,nerede yasiyorsun su anda,BOT_KONUM,KitapPusula-Final-özel,eğitim
yeni kitap türü tahmini yap,yeni kitap turu tahmini yap,YENI_KITAP_SINIFLANDIR,KitapPusula-V6,eğitim
doğruluk oranını göster,dogruluk oranini goster,MODEL_BILGISI,KitapPusula-V6,eğitim
kendinden biraz bahset,kendinden biraz bahset,BOT_KIMLIK,KitapPusula-Final-özel,eğitim
bu eser hangi tür,bu eser hangi tur,TUR_SORUSU,KitapPusula-V6,eğitim
az önceki kitap için kitap bilgisini yinele,az onceki kitap icin kitap bilgisini yinele,TEKRAR_GOSTER,KitapPusula-V6,eğitim
bir tane espri yap,bir tane espri yap,SAKA_ISTEGI,KitapPusula-Final-özel,eğitim
modelle yeni kitap sınıflandır başlat,modelle yeni kitap siniflandir baslat,YENI_KITAP_SINIFLANDIR,KitapPusula-V6,eğitim
çok yardımcı oldun,cok yardimci oldun,TESEKKUR,KitapPusula-Final-özel,eğitim
başarı oranı nedir ayrıntılı anlat,basari orani nedir ayrintili anlat,MODEL_BILGISI,KitapPusula-V6,eğitim
merak ettim sen kimsin lütfen,merak ettim sen kimsin lutfen,BOT_KIMLIK,KitapPusula-Final-özel,eğitim
kendini tanıt,kendini tanit,BOT_KIMLIK,KitapPusula-Final-özel,eğitim
merak ettim son dakika gelişmeleri neler söyler misin,merak ettim son dakika gelismeleri neler soyler misin,HABER_SORUSU,KitapPusula-Final-özel,eğitim
yeniden selam,yeniden selam,SELAMLAMA,KitapPusula-V6,eğitim
bu eser kaç sayfa söyler misin,bu eser kac sayfa soyler misin,SAYFA_SORUSU,KitapPusula-V6,eğitim
yerel veri tabanında kaç kitap var söyler misin,yerel veri tabaninda kac kitap var soyler misin,KITAP_SAYISI,KitapPusula-V6,eğitim
