Kitap Adı,Kitap Açıklaması,Kategori
Sam Lives Here: Kahve Sektörünün Kaderini Değiştiren Girişimcilik Hikayesi,"Türkiye'nin kahve sektörünün kaderini değiştiren girişimci Sam Çeviköz'ün hikâyesi, Avustralya'nın sıcak kumsallarından Türkiye'ye doğru uzanıyor...Sam, elli yılını geçirdiği toprakları bırakıp, ana vatanına doğru kahve tutkusunun peşinde çıktığı yolda yüzlerce baristanın hayatını değiştirdi; tedarikçileri ve iş ortaklarının önünü açarak sektörün büyümesinde tetikleyici oldu. Kitapta, Sam'in kahve aşkı ve girişimcilik ruhunun nasıl birleştiğine, Türkiye'nin iş kültürünü keşfederken yaşadıklarına tanıklık edecek ve tüm bu maceranın nasıl bir seri başarı hikâyesine dönüştüğünü okuyacaksınız.İniş",Biyografi-Otobiyografi
Benim Babam,"""Biz çocuk yaştakiler, çok temiz ve şık giyinmişolarak bahçede misafirleri karşılıyorduk. Sonra biz de salona gittik. Ben ömrümde öyle güzel veihtişamlı bir yemek salonu görmemiştim. Masalaro kadar süslü ve gösterişliydi ki saraydaymışım gibi hissediyordum. Bu yemekte tanımadığım birçok kadın ve erkek vardı. Acaba bunların arasında babam da bulunuyor muydu?"" Kemalettin Tuğcu Benim Babam kitabında;büyük bir zenginliğin içerisinde kalbi kırılmış,hayatta tutunacak dalı kalmamış bir babanın veannesinin ölümünden sonra gerçek babasınıbulmuş ama ona kavuşamamış bir çocuğunhikâyesini anlatıyor. Her k",Hikâye
Jean Genet,"Stephen Barber, Jean Genet’nin kendi eserleriyle hep iç içe geçmiş olağanüstü yaşamının özünü tam da o yaşama layık bir tarzla kavramaya girişiyor. Ele avuca sığmaz Genet’nin yaşamını bilhassa 1960’lı yıllarda birçok kesimden insan için ilham verici kılmış ve onun bugün önem taşımaya hâlâ devam eden parçalarına incelikle ışık tutuyor. Genet’nin seyahatleri, hapis yılları, duygusal ilişkileri, siyasi angajmanları ve eylemleri, romanları, tiyatro çalışmaları ve film projeleri Barber’ın anlatısında kesitler hâlinde gözler önüne seriliyor. İnsan hayatının en mühim meseleleri üzerine hayatı boyunca",Biyografi-Otobiyografi
Mahsur Bir Tutsaklık Öyküsü,"24. Dönem CHP Tunceli Milletvekili Hüseyin Aygün, doğduğu toprakların tarihsel gerçeğini, kişisel serüveniyle birleştirerek anlatıyor.Öncesi ve sonrasıyla 1938 Dersim Harekâtı’na odaklanan Mahsur, geçmişte ve günümüzde büyük acılara yol açan gelişmeleri, kuşatılmış insanların gözünden aktaran bir çalışma. Ağustos 2012’de PKK tarafından kaçırılan Hüseyin Aygün kitabında bu zorbaca eylemle ilgili anılarına da yer veriyor, kimi gerçekleri ilk kez dile getiriyor. Mahsur / Bir Tutsaklık Öyküsü, yakın geçmişimize, bugünümüze ve geleceğimize ışık tutan bir inceleme ve anı kitabı. “Bir zamanlar Türk m",Anı
Esnaf Lokantası,"Büyüdüğü eve, sokağa, semte dünyaları sığdırmakta maharetli çocuklar, engin denizlerin dibine inmeye, yüksek dağların zirvesine ulaşmaya yetişkinlerden daha yakındır. Onlar, sahibi oldukları bin bir çeşit hikâyenin çoğunu yaş aldıkça kaybederler. Kimisi bu hikâyelerin bir kısmını gerçeğe dönüştürür, kimisi de hatırlamakla yetinir. Unutanlarsa bu çağda yalnız yaşlanamazlar, başkalarının bildiklerine tutunurlar. Murat Şahin Esnaf Lokantası’nda maharetli çocuklarla gerçeğe dönüştürüyor hikâyelerini. İçten, “bizden” bir dille komşudan, sokaktan, vapurdan sesleniyor okura. Çok da uzak olmayan ancak",Hikâye
Pan’ın Saklı Sembolleri,Hayatımın akışı artık eskisi gibi değildi. Bir yarı elfle nişanlıydım. Zorunlu olarak. Aslında Felicity kendini şanslı hissetmeliydi. Birdenbire okuldaki bütün oğlanların onunla ilgilenmeye başlamasının yanı sıra Londra’nın en yakışıklı tipiyle de nişanlıydı. Ama ne yazık ki bu nişan yüzyıllar öncesinden planlanmıştı ve kimse onun fikrini sormamıştı. Bunlar yetmezmiş gibi öte dünyada da işler kızışıyor ve yine her şey Felicity’ye bağlı. Elfler için çok önemli olan sembolleri yalnızca o bulabilir ama bunun için çok fazla zaman yolculuğu yapması gerekiyor… Pan üçlemesinin son kitabı: Pan’ın Sakl,Bilimkurgu-Fantazya
Yas Pelerini,"İçindeki hüzün bulutlarını dağıtmaya çalışan genç ancak yorgun bir insanın, sevgi, özlem ve çaresizlik üçgeninde kaldığı anlarda kaleme aldığı yas pelerini, dışarıdan lüks bir palto, içeriden ise bir mezar anıtı.",Şiir
Yedilikler,"Dünyanın fenalığına, insanın bencilliğine bakıp, bu hali kalıcı sanıp, dilindeki iyiliği, kalbindeki merhameti...Durmadan geçmişe dalıp, anılarda oyalanıp, onları yeniden gelir sanıp, sana kavuşan vakti, sende uyanan günü...Eşyanın davetine kanıp, geç kaldığına yanıp, beklediğin an sanıp, yalınlığın dilini, beklemenin güzelliğini...Aşkı gelgeç heveslerle karıştırıp, papatya falı açar gibi yakınlık yarıştırıp, sevgiyi çokluk sanıp, başına gelen baharı, kapını çalan yazı...“İnsan tükenmez” sözüne aldanıp, dostlarla yolları bir bir ayırıp, arkadaştan bol bir şey yok sanıp, “güneşin sofrası”nı, yo",Deneme
Dokun Yüreğimin Tam Ortasına,"Muhabbet bilmeze bir bade sundumAldı kadehini kadehe vurduAltını toz eyleyip eynine koydumTopraktır diyerek yele savurdu Nasihat eyledim gönül telimdenHakkı kelam ettim kendi dilimdenAzığın doldurdum nur cevherindenYakıp köz eyledi küle savurdu Hatipoğlu yaradana yâr oldumBoran oldum, tufan oldum, kar oldumBende bu cihandan kayb-ı sır oldumSızdım damla damla sele savurdu Birol Yıldız Hatipoğlu",Şiir
Değer Yaratma Tutkusu / Düşünceleri ve Girişimleriyle Nejat Eczacıbaşı,"Dr. Nejat F. Eczacıbaşı’nın aramızdan ayrılışının 30. yıldönümü için hazırlanan Değer Yaratma Tutkusu adlı kitap Yapı Kredi Yayınları tarafından yayımlandı.Değer Yaratma Tutkusu Eczacıbaşı Topluluğu’nun kurucusu Dr. Nejat F. Eczacıbaşı’nın düşünce dünyasını, yaşamını ve ülkemize kazandırdığı değerleri kendi anlatımıyla aktarıyor. Onun bugün için hâlâ anlamlı, özgün fikirlerinin yanı sıra hayat verdiği markaların ve kurumların kuruluş öykülerini içeriyor. Eczacıbaşı Topluluğu arşivinden görsellerle zenginleştirilen derleme kitapta Nejat Eczacıbaşı’nı yakından tanıma fırsatı bulan kişilerin görü",Biyografi-Otobiyografi
Virgül Yazıları,"Orhan Koçak, 1997 yılının Ekim ayından 2009 yılının Aralık ayına dek istikrarlı olarak çıkan, kapandığı güne dek genel yayın yönetmenliğini üstlendiği aylık kitap ve eleştiri dergisi Virgül’ün ilk sayısını şu sözlerle açmıştı: “Virgül’ü şöyle tanımlamak isteriz: Okunmuş gazetelerle birlikte atılmayacak bir kitap dergisi.Günü geçtikten sonra da okunacağını varsaydığımız bir dergi. Niçin çıkarıyoruz Virgül’ü? Okura yol göstermekten çok, kitaba bir eleştirel bağlam kazandırmak için. Bu ülkede başka kitapdergileri de olduğu halde, bazı önemli yayınların yeterince tartışılmadan özel kitaplıkların d",Deneme
Kırk7 Buçuk 47 Sonrası Kadının Yeni Adı,"İster kadın olsun ister erkek, insana çok erken gelir yaş korkusu...30 yaşına giren insanların çoğu benzer bir bilanço yapar,30 yaşı gençliğin sona erişi diye düşünür...Oysa asıl tehlikeli yaş olan 40’a daha on yıl vardır.Sonra o on yıl da geçer ve 40’a gelirsiniz.Gençliğin sonsuza dek bittiği duygusu gelmekte olan günlerin güzelliğini sizden avans olarak alıp götürür...İçiniz mi karardı?..Kararmasın...Şimdi yaş korkusunu, gençlik elden gitti evhamını, gecikmiş pişmanlıkları, “eyvah”ları, “keşke”leri yavaşça yere bırakıp oradan uzaklaşın...Hiç korkmayın. Hiç telaşa kapılmayın. Çok güzel, hatta",Deneme
Sus Adası,"Sus Adası, Ersin KARACA'nın 32 yıllık şiir serüveninden 42 şiirlik bir seçki. Bundan önceki şiir kitabı Berneva 2011 yılında yayımlanmıştı. Sus Adası'nın önsözünden; Bence kulağını kapatıp meydana çıkıpta bir müziğe kendisini kaptırmışaynı zaman da paçasının yandığını farketmeyen adamın kolundan tutup''Dur yanıyorsun!''diyen adamdır şair. Tıpkı Mehmet Akif Ersoy gibi. Bir de bu halde kendiiçlerinin yandığından, yakandan bahsedenler var tabii; Mevlana, NiyaziMısri, Yunus Emre gibi.Büyük şairler Nuri Pakdil hocanın da değindiği üzere ''insana karşı insanısavuna gelmişler daima. Bazen insanı karş",Şiir
Tanrılar ve Canavarlar (Karton Kapak),"KADERİN BİRLEŞTİRDİĞİ İKİ ÂŞIKTIK BİZ Lou bütün hayatını annesinden ve avcılardan kaçarak geçirmişti. Reid ise cadıları kovalayarak. Beraber olabilmek için tüm imkânsızlıklara kafa tutan bu çift şimdi yine omuz omuza durmuş, yıkıcı kayıpları için alacakları intikamı planlıyordu. KAZIK VE KİBRİTİN Ancak karanlık, görünenden daha yakındı. Lou’yu çoktan ele geçirmişti ve onu geri getirmek için bu kez sadece aşk yetmeyecekti. O kendi içinde ölüm kalım savaşı verirken, cadılar onlara karşı birleşiyor ve yeni bir dünyanın kapıları aralanıyordu. YAŞAM VE ÖLÜMÜN Lou hakkı olan tahta oturup Morgane’ın",Bilimkurgu-Fantazya
Patron,"Tekstil işçilerinin, şeytani derecede kurnaz, ama aynı zamanda merhametli ve de âşık patronunun öyküsünü anlatıyor bu roman. Kendi varlık amacını kumaşlar, insanlar ve üniversiteli bir kızın sözleri ortasında sorgulayan genç bir adamın varoluş mücadelesi. “Bu sebepten hâlâ bekârdım. Ebru’yla evlendiğimde Sude’de, Sude’yle evlendiğimde Ebru’da gönlümün kalacağından, beyaz ceketi aldığımda mavisinden, maviyi aldığımda beyazından mahrum kalacağımdan korktuğumdan… Kendi varlık anlamımı hep dışımda aramış, hep öteden beriye getirmek istemiş, annesini pencerenin öte yanında görmüş bir çocuk gibi, ge",Roman
Biyografik Sherlock,"Sherlock Holmes; yaygın olarak bilindiği üzere arkadaşı Dr. Watson’la maceradan maceraya koşan, Sir Arthur Conan Doyle’un yarattığı ilk modern dedektiftir. Ancak bu kurgusal ikiliyi gerçek dünyada yaşamış insanlar kabul edip Oyun’u kurallarına göre oynayan bu kitapla bildiklerinizin ötesine geçecek, Sherlock’un altmış vakalık maceralarının detaylarına tanık olacak, Baker Sokağı 221B’de Dr. Watson’la yaşadıkları evin eşyalarını inceleyecek, bir savaş sanatı olan Bartitsu’nun inceliklerini öğrenecek, olay yeri inceleme işine katkıları gibi birçok detaylı konu hakkında bilgi sahibi olacaksınız. B",Biyografi-Otobiyografi
Toprağın Kokusu,"ÖZGECAN'ABir değil, yüz değil, bu kaçıncısıYürekte diner mi yavru sancısıKatili kışkırtan yurdun dincisiCan gider canımdan, Özgecan giderAhlaksızlar başköşeye kurulmuşNamus denen örtülere sarılmışKadınız ya; hüküm baştan verilmişKan gider yürekten, Özgecan giderGünümüzde yaşanan adaletsizliklere karşı bir ozan tavrıyla karşı çıkmakla kalmıyor, ruhunun derinliklerinde duygularını yoğurarak yazdığı şiirlerde öfke, isyan, acı ve yaşanmış veya yaşanması muhtemel sevdaları anlatıyor. Her okuyanın kendisini içinde bulabileceği bu şiir kitabını mutlaka okuyun derim. Yüreğinize sağlık Dertli Bacım…Oza",Şiir
Bir Öteki Dünya Hikayesi,"Bu elinizde tuttuğunuz kitap, mistik bir roman değildir. Ülkemizin ve dünyamızın kaybettiği değerleri anımsatan yani geride bıraktığımız insanların bir atlasıdır aynı zamanda.Kitabı okurken dünyada değişik dinlerde inanan insanların ölüme bakışını bulacaksınız. Onların ölülerine uyguladıkları ritüellere tanık olacaksınız. Cennet cehennem gibi ortak noktalar bulacaksınız. Sümerlerden, Mısıra kadar antik inanışları okuyacaksınız. Sonra semavi dinlerindeki inanışların temelini, milattan önce 5000 yıllara dayanan geçmişi, hatta Taş devrindeki Göbeklitepe gözünüz önüne gelecek.Kitabın kapağını kapa",Roman
Azazel / İstila,"Kardinal Kontorro’nun Azazel tarafından öldürülmesiyle, Vatikan yeni bir papa seçebilmek için Konklav’a hazırlanmaktadır. İçlerindeki Gül ve Haç Kardeşliği üyeleri ise, bu seçimi Vatikan’ı ele geçirebilecek bir şansa çevirmek niyetindedir.Komiser Rıza olayın izini sürerken kendini düşmüş meleklerin, iblislerin ve nefillerin yaşadığı yer olan Anamissia’da bulur. Şimdi Kudüs, Mekke ve Vatikan arasında şekillenen bu olağanüstü macerada, hem kendini korumak hem de insanlığın sonunu getirecek Azazel’in planını bozmak zorundadır. Azazel ise ilk imanlı ruhu almış ve kıyameti harekete geçirecek kadim",Polisiye
Karga Yavrusu Çocuklar ve Gençler için Seçme Öyküler,"Memduh Şevket Esendal’ın en güzel hikâyeleri çocuklar ve gençler için özenle seçildi ve bir kitapta toplandı. Ondan bize güzel bir roman, güzel hikâyeler kaldı çocuklar.Onun güzel romanının, güzel hikâyelerinin genç insanların yaşayışlarına, mesut ve hüzünlü saatlerine uzun seneler karışmasını dilerim.Mektep kitaplarına onun küçücük, tertemiz, güzel hikâyelerinin kocaman laflıların yerine geçmesini dilerim.Sait Faik AbasıyanıkMemduh Şevket, kısa öyküleri ve yalın diliyle Türk öykücülüğüne yepyeni bir sayfa açtı.Sizin için seçtiğimiz öykülerinde; gözlemlerine dayanarak kaleme aldığı bu satırlar",Hikâye
Selahaddin Eyyubi - Ciltli,"Alman İmparatoru II. Wilhelm 1898’de Osmanlı İmparatorluğu’na yaptığı ikinci ziyaretinde Kudüs’e de gitmiş, bu yolculuk kapsamında bir süre Şam’da da konaklamıştı. Şam’da 7 Mayıs 1898’de Selahaddin Türbesi’ni ziyaret ettikten sonra, 8 Kasım akşamı onuruna verilen ziyafette yaptığı konuşmada, “Tüm zamanların en şövalye ruhlu hükümdarlarından birinin, büyük Selahaddin’in yaşadığı yerde bulunmaktan” çok mutlu olduğunu söylemiş, Selahaddin’in “çoğu zaman düşmanlarına gerçek şövalyeliğin ne olduğunu öğreten korkusuz ve kusursuz bir şövalye” olduğunu ifade etmişti.Kuşkusuz Kayzer Wilhelm’in bu konuş",Biyografi-Otobiyografi
Goldstein Gereon Rath’ın Üçüncü Vakası,"Berlin’e “düşen” bir Amerikalı gangster, Komiser Rath’ı, Berlin’in yeraltı dünyasından gayrı bir de uluslararası mafya işlerine karıştırıyor. Çok boyutlu, karmaşık bir entrika. Fonda ekonomik buhranın yıkımı ve Nazilerin yükselişi. Goldstein’da suç ve cürüm yelpazesi, bu defa olağanüstü geniş! Küçük suçlar âleminin çocuk hırsızlarından boy boy mafyaya, uluslararası suç bağlantılarına ve ırkçı şiddete uzanıyor. Kutscher’in ustası olduğu şey bu zaten: “zamanın ruhunun” müthiş zengin bir tasviri. Berlin Babylon televizyon uyarlamasıyla uluslararası şöhret kazanan Komiser Rath dizisinin bu üçüncü",Polisiye
Çermik’ten Portreler,"Çermik…Kimi için doğduğu toprak, kimi için bir hatıra durağı. Ama hepimiz için bir vefa, içten bir tebessüm, geçmişe açılan bir pencere…Bu kitapta; sadece isimleri değil, ruhlarıyla iz bırakmış insanları anlattım. Her biri, Çermik’in hafızasında yeri olan, hatırası silinmemiş portrelerdir.""Çermik’ten Portreler"", sadece bir biyografi kitabı değil; bir coğrafyanın, bir kültürün, bir halkın sesi… Sokaklarında yürüdüğümüz, çeşmesinden su içtiğimiz, gölgesinde dinlendiğimiz insanların hikâyeleri... Bu eser, unutanlara hatırlatmak, hatırlayanlara teşekkür etmek için yazıldı. Çünkü bir memleketin ger",Biyografi-Otobiyografi
Richard Wagner Hayatı ve Müzik Çalışmaları,"Richard Wagner (22 Mayıs 1813, Leipzig – 13 Şubat 1883, Venedik), Alman opera bestecisi, tiyatro direktörü, müzik teorisyeni ve yazarı.Geliştirdiği birleşik sanat eseri kavramı (Gesamtkunstwerk) ile müzik dünyasını etkiledi. Gerek müzik ve drama alanındaki yenilikleri, gerekse Yahudi karşıtı görüşleri nedeniyle 20. yüzyılın en çok tartışılan müzik adamlarından olmuştur.Wagner, küçük yaştan itibaren tiyatroya ilgi duymaya başladı. Diğer kardeşleri de meslek olarak oyunculuk ve şarkıcılığı seçmişlerdi. İlk yaratıcı çalışması, 15 yaşında ""Leubald and Adelaide"" adlı opera metni idi. Weber’in bir o",Deneme
İçimizdeki Hayvan,"Emile Zola, iki ailenin beş kuşak hikâyesi üzerinden Fransa’nın İkinci İmparatorluk dönemini (1852-1870) anlatan yirmi kitaplık bir dizi üzerinde çalışmaya başladığında yıl 1869’dur. Zola, hayatını yalnızca kalemiyle kazanmaya karar vererek ilk romanlarını yayımlamış olan 29 yaşında bir yazardır ve imparatorluk, kaçınılmaz çöküşüne doğru giden son çılgın günlerini yaşamaktadır. Sonrası, hakikate ve yazının gücüne inanan bir edebiyatçının çeyrek asır süren ağır işçiliğidir. İçimizdeki Hayvan, Zola’nın “Rougon ve Macquart Aileleri: İkinci İmparatorluk Döneminde Bir Ailenin Doğal ve Toplumsal Tar",Roman
Atatürk'ün Gücü,MUSTAFA KEMAL’İN SÜVARİSİKara gecenin içindenYıldızlar düşmüş gözüneBir süvari dörtnala gidiyorduUzak cephelerdeki çığlık sesineMustafa Kemal’in al kalpaklı süvarisiŞafağın göğsüne taktı süngüsünüKızıl ufukta uyandırdı Güneş’iKurtuluş ışıltıları sardı dört yanıSamsun önlerinden şaha kalktıİlk adımdan Amasya’dan Erzurum’a uçtuRüzgâr kanatlı yeleleri Sivas’a düştüAyak sesleri Ankara’dan duyuldu,Şiir
